Name,coef
lh_S_orbital_med-olfact_volume,0.34
lh_G_temp_sup-Plan_polar_volume,0.26
lh_Pole_occipital_volume,0.19
lh_G_temp_sup-G_T_transv_volume,0.18
rh_S_temporal_inf_volume,0.18
lh_G_and_S_frontomargin_volume,0.16
rh_G_subcallosal_volume,0.15
rh_S_collat_transv_post_volume,0.14
rh_Pole_temporal_volume,0.14
rh_Pole_occipital_volume,0.14
rh_S_suborbital_volume,0.14
rh_S_oc-temp_lat_volume,0.13
rh_S_orbital_med-olfact_volume,0.13
lh_G_cuneus_volume,0.11
lh_G_orbital_volume,0.1
rh_G_temp_sup-Plan_tempo_volume,0.1
rh_G_pariet_inf-Angular_volume,0.1
rh_G_oc-temp_med-Parahip_volume,0.1
rh_G_oc-temp_lat-fusifor_volume,0.1
lh_G_front_inf-Opercular_volume,0.1
rh_S_front_sup_volume,0.08
rh_S_orbital-H_Shaped_volume,0.08
rh_S_temporal_transverse_volume,0.08
lh_G_insular_short_volume,0.08
lh_G_occipital_middle_volume,0.08
lh_G_Ins_lg_and_S_cent_ins_volume,0.07
lh_S_temporal_transverse_volume,0.07
rh_G_and_S_cingul-Ant_volume,0.06
lh_G_and_S_transv_frontopol_volume,0.06
lh_S_orbital-H_Shaped_volume,0.05
rh_S_pericallosal_volume,0.05
rh_S_interm_prim-Jensen_volume,0.05
rh_G_parietal_sup_volume,0.04
lh_S_calcarine_volume,0.04
lh_S_collat_transv_ant_volume,0.04
lh_S_precentral-inf-part_volume,0.03
lh_S_occipital_ant_volume,0.03
rh_S_circular_insula_ant_volume,0.03
lh_G_cingul-Post-dorsal_volume,0.03
lh_S_collat_transv_post_volume,0.03
lh_G_oc-temp_med-Parahip_volume,0.03
lh_Lat_Fis-ant-Horizont_volume,0.03
rh_G_occipital_sup_volume,0.02
lh_G_precuneus_volume,0.02
lh_Lat_Fis-ant-Vertical_volume,0.02
rh_G_front_sup_volume,0.02
rh_S_front_middle_volume,0.02
rh_G_front_inf-Orbital_volume,0.02
lh_S_parieto_occipital_volume,0.02
lh_G_and_S_occipital_inf_volume,0.01
rh_S_occipital_ant_volume,0.01
lh_S_pericallosal_volume,0.01
rh_G_postcentral_volume,0.01
lh_G_and_S_cingul-Mid-Ant_volume,0.0
lh_G_front_inf-Triangul_volume,0.0
rh_G_temp_sup-Plan_polar_volume,0.0
rh_G_temporal_inf_volume,0.0
rh_S_subparietal_volume,0.0
rh_G_temp_sup-Lateral_volume,0.0
rh_G_precuneus_volume,0.0
rh_G_temp_sup-G_T_transv_volume,0.0
lh_G_front_middle_volume,0.0
rh_G_rectus_volume,0.0
rh_G_temporal_middle_volume,0.0
rh_G_precentral_volume,0.0
lh_G_and_S_paracentral_volume,0.0
rh_G_pariet_inf-Supramar_volume,0.0
lh_G_front_sup_volume,0.0
rh_G_orbital_volume,0.0
rh_S_temporal_sup_volume,0.0
lh_G_and_S_subcentral_volume,0.0
lh_G_front_inf-Orbital_volume,0.0
rh_Lat_Fis-ant-Horizont_volume,0.0
rh_S_circular_insula_sup_volume,0.0
rh_S_oc-temp_med_and_Lingual_volume,0.0
rh_S_oc_sup_and_transversal_volume,0.0
rh_S_oc_middle_and_Lunatus_volume,0.0
rh_S_intrapariet_and_P_trans_volume,0.0
lh_G_and_S_cingul-Mid-Post_volume,0.0
rh_S_orbital_lateral_volume,0.0
rh_S_front_inf_volume,0.0
lh_G_and_S_cingul-Ant_volume,0.0
rh_S_collat_transv_ant_volume,0.0
rh_S_circular_insula_inf_volume,0.0
rh_Lat_Fis-ant-Vertical_volume,0.0
rh_S_parieto_occipital_volume,0.0
rh_S_postcentral_volume,0.0
rh_G_oc-temp_med-Lingual_volume,0.0
rh_S_central_volume,0.0
rh_S_calcarine_volume,0.0
rh_S_precentral-inf-part_volume,0.0
rh_S_precentral-sup-part_volume,0.0
lh_G_cingul-Post-ventral_volume,0.0
rh_Lat_Fis-post_volume,0.0
rh_S_cingul-Marginalis_volume,0.0
rh_G_front_inf-Opercular_volume,0.0
rh_G_occipital_middle_volume,0.0
rh_G_insular_short_volume,0.0
lh_S_front_sup_volume,0.0
lh_S_front_middle_volume,0.0
lh_S_front_inf_volume,0.0
lh_S_circular_insula_sup_volume,0.0
lh_S_circular_insula_inf_volume,0.0
lh_S_circular_insula_ant_volume,0.0
lh_S_cingul-Marginalis_volume,0.0
lh_S_central_volume,0.0
lh_Pole_temporal_volume,0.0
lh_G_occipital_sup_volume,0.0
lh_Lat_Fis-post_volume,0.0
lh_G_temporal_middle_volume,0.0
lh_G_temporal_inf_volume,0.0
lh_G_temp_sup-Plan_tempo_volume,0.0
lh_G_oc-temp_lat-fusifor_volume,0.0
lh_G_temp_sup-Lateral_volume,0.0
lh_G_oc-temp_med-Lingual_volume,0.0
lh_G_subcallosal_volume,0.0
lh_G_rectus_volume,0.0
lh_G_precentral_volume,0.0
lh_G_postcentral_volume,0.0
lh_G_parietal_sup_volume,0.0
lh_G_pariet_inf-Supramar_volume,0.0
lh_S_interm_prim-Jensen_volume,0.0
lh_S_intrapariet_and_P_trans_volume,0.0
lh_S_oc_middle_and_Lunatus_volume,0.0
rh_G_and_S_subcentral_volume,0.0
rh_G_Ins_lg_and_S_cent_ins_volume,0.0
rh_G_front_middle_volume,0.0
rh_G_front_inf-Triangul_volume,0.0
lh_G_pariet_inf-Angular_volume,0.0
rh_G_cuneus_volume,0.0
rh_G_cingul-Post-ventral_volume,0.0
rh_G_cingul-Post-dorsal_volume,0.0
rh_G_and_S_cingul-Mid-Post_volume,0.0
rh_G_and_S_cingul-Mid-Ant_volume,0.0
rh_G_and_S_transv_frontopol_volume,0.0
rh_G_and_S_paracentral_volume,0.0
lh_S_oc_sup_and_transversal_volume,0.0
rh_G_and_S_occipital_inf_volume,0.0
lh_S_temporal_sup_volume,0.0
lh_S_temporal_inf_volume,0.0
lh_S_subparietal_volume,0.0
lh_S_suborbital_volume,0.0
lh_S_precentral-sup-part_volume,0.0
lh_S_postcentral_volume,0.0
lh_S_orbital_lateral_volume,0.0
lh_S_oc-temp_med_and_Lingual_volume,0.0
lh_S_oc-temp_lat_volume,0.0
rh_G_and_S_frontomargin_volume,0.0
